open,high,low,close,volume,datetime
79.5,79.69,78.58,78.67,913528,2016-11-03 01:00:00-04:00
78.58,79.93,78.03,79.07,885874,2016-11-04 01:00:00-04:00
79.98,80.35,78.42,79.34,1010406,2016-11-07 01:00:00-05:00
78.86,80.48,78.86,80.14,688501,2016-11-08 01:00:00-05:00
79.34,82.77,79.24,82.27,887047,2016-11-09 01:00:00-05:00
82.89,83.94,82.08,82.12,699870,2016-11-10 01:00:00-05:00
82.0,82.69,81.547,82.6,744378,2016-11-11 01:00:00-05:00
83.14,86.16,83.14,85.97,1378473,2016-11-14 01:00:00-05:00
85.45,86.12,84.24,85.92,762655,2016-11-15 01:00:00-05:00
86.25,87.38,85.66,85.72,679025,2016-11-16 01:00:00-05:00
86.21,87.65,85.3,86.78,848157,2016-11-17 01:00:00-05:00
86.77,87.75,86.3553,87.51,636503,2016-11-18 01:00:00-05:00
86.82,87.0,85.8,86.29,883420,2016-11-21 01:00:00-05:00
86.45,86.5,84.15,84.67,1374613,2016-11-22 01:00:00-05:00
84.64,85.6099,84.52,84.72,798122,2016-11-23 01:00:00-05:00
84.89,85.5,84.85,85.43,411750,2016-11-25 01:00:00-05:00
85.05,85.65,84.87,85.4,891183,2016-11-28 01:00:00-05:00
85.11,86.2,84.85,85.64,772454,2016-11-29 01:00:00-05:00
85.83,85.89,84.72,84.76,768660,2016-11-30 01:00:00-05:00
84.94,85.55,84.7,85.19,856417,2016-12-01 01:00:00-05:00
85.27,87.12,85.02,87.07,980691,2016-12-02 01:00:00-05:00
87.82,88.29,86.99,87.15,915711,2016-12-05 01:00:00-05:00
87.55,87.6399,86.02,86.94,688448,2016-12-06 01:00:00-05:00
87.18,88.41,86.91,87.29,1183108,2016-12-07 01:00:00-05:00
87.46,88.02,87.08,87.33,957234,2016-12-08 01:00:00-05:00
87.35,88.03,86.93,87.38,711985,2016-12-09 01:00:00-05:00
87.68,88.13,86.0,86.48,874132,2016-12-12 01:00:00-05:00
86.31,87.06,85.6401,86.59,588160,2016-12-13 01:00:00-05:00
86.81,87.49,85.83,86.16,769936,2016-12-14 01:00:00-05:00
86.24,87.45,86.02,86.53,1426257,2016-12-15 01:00:00-05:00
86.59,87.25,86.3,86.46,1605814,2016-12-16 01:00:00-05:00
86.27,87.0,86.18,86.75,982967,2016-12-19 01:00:00-05:00
87.0,87.0,86.11,86.72,582955,2016-12-20 01:00:00-05:00
86.23,87.01,85.99,86.51,802106,2016-12-21 01:00:00-05:00
86.53,86.8499,85.43,85.98,377200,2016-12-22 01:00:00-05:00
85.96,86.62,85.77,86.48,281619,2016-12-23 01:00:00-05:00
86.78,87.01,86.45,86.66,578931,2016-12-27 01:00:00-05:00
87.12,87.22,84.98,85.19,394687,2016-12-28 01:00:00-05:00
85.15,85.59,84.61,85.06,550087,2016-12-29 01:00:00-05:00
85.49,85.5739,84.28,84.82,372647,2016-12-30 01:00:00-05:00
85.16,85.9,84.01,85.0,1053646,2017-01-03 01:00:00-05:00
85.44,86.44,85.05,86.37,925849,2017-01-04 01:00:00-05:00
86.37,87.04,84.68,85.33,605185,2017-01-05 01:00:00-05:00
85.37,87.45,85.15,87.2,773456,2017-01-06 01:00:00-05:00
86.9,88.47,86.34,87.77,1083893,2017-01-09 01:00:00-05:00
87.7,88.58,87.36,87.98,861677,2017-01-10 01:00:00-05:00
88.06,89.28,87.88,88.52,566231,2017-01-11 01:00:00-05:00
88.1,88.7971,85.99,86.88,654448,2017-01-12 01:00:00-05:00
86.96,88.02,86.6108,87.22,438779,2017-01-13 01:00:00-05:00
86.82,86.82,85.4,85.67,661858,2017-01-17 01:00:00-05:00
85.83,86.92,85.3678,86.66,561750,2017-01-18 01:00:00-05:00
86.7,87.62,85.355,85.76,410238,2017-01-19 01:00:00-05:00
86.17,86.97,85.76,86.05,739115,2017-01-20 01:00:00-05:00
86.44,88.46,86.41,88.33,669016,2017-01-23 01:00:00-05:00
88.94,92.27,88.82,92.08,1358509,2017-01-24 01:00:00-05:00
95.5,95.5,93.01,94.7,1152529,2017-01-25 01:00:00-05:00
94.63,94.94,93.27,94.02,878552,2017-01-26 01:00:00-05:00
94.3,94.69,93.3304,93.58,713233,2017-01-27 01:00:00-05:00
93.5,93.5,91.48,91.82,1286440,2017-01-30 01:00:00-05:00
94.83,96.87,90.93,92.18,2027667,2017-01-31 01:00:00-05:00
91.97,93.62,91.05,93.1,1190258,2017-02-01 01:00:00-05:00
92.87,93.45,91.0705,93.37,959318,2017-02-02 01:00:00-05:00
94.25,94.95,93.71,94.22,723452,2017-02-03 01:00:00-05:00
92.6,94.43,89.83,94.2,1201808,2017-02-06 01:00:00-05:00
94.14,96.54,93.85,95.08,1119534,2017-02-07 01:00:00-05:00
95.09,95.37,90.95,94.18,3162136,2017-02-08 01:00:00-05:00
93.96,93.96,91.4,93.75,1159852,2017-02-09 01:00:00-05:00
93.84,94.5,92.76,94.09,588981,2017-02-10 01:00:00-05:00
94.43,96.04,93.7,94.87,1000536,2017-02-13 01:00:00-05:00
94.42,95.39,94.27,95.14,426373,2017-02-14 01:00:00-05:00
95.43,96.13,95.255,95.46,704554,2017-02-15 01:00:00-05:00
95.93,96.73,95.58,96.62,778909,2017-02-16 01:00:00-05:00
96.04,96.5912,94.43,95.26,786351,2017-02-17 01:00:00-05:00
95.2,96.0,94.885,95.81,722761,2017-02-21 01:00:00-05:00
95.39,95.6399,93.65,94.0,1246061,2017-02-22 01:00:00-05:00
94.8,95.215,93.35,93.99,783293,2017-02-23 01:00:00-05:00
93.68,94.15,92.94,93.45,614803,2017-02-24 01:00:00-05:00
93.45,94.19,93.15,93.66,706180,2017-02-27 01:00:00-05:00
