open,high,low,close,volume,datetime
49.93,50.4,49.93,50.17,470910,2016-11-03 01:00:00-04:00
50.37,51.71,50.37,51.07,713198,2016-11-04 01:00:00-04:00
52.07,52.49,51.66,51.87,769580,2016-11-07 01:00:00-05:00
47.92,51.14,45.35,50.72,1734876,2016-11-08 01:00:00-05:00
52.03,52.03,49.58,50.79,810074,2016-11-09 01:00:00-05:00
52.28,52.28,50.96,51.21,1116537,2016-11-10 01:00:00-05:00
50.92,51.34,50.5816,50.9,974396,2016-11-11 01:00:00-05:00
50.95,51.36,50.21,50.27,976007,2016-11-14 01:00:00-05:00
50.37,51.1,50.08,50.92,774099,2016-11-15 01:00:00-05:00
50.88,52.31,50.88,51.46,1079904,2016-11-16 01:00:00-05:00
51.46,51.595,50.73,50.94,497371,2016-11-17 01:00:00-05:00
50.88,51.11,49.715,49.95,741296,2016-11-18 01:00:00-05:00
50.04,50.58,50.04,50.58,534063,2016-11-21 01:00:00-05:00
50.58,50.73,50.29,50.66,630275,2016-11-22 01:00:00-05:00
50.09,51.94,50.09,51.91,530878,2016-11-23 01:00:00-05:00
52.06,52.54,51.26,51.54,312085,2016-11-25 01:00:00-05:00
51.51,51.51,50.91,50.94,642450,2016-11-28 01:00:00-05:00
50.82,51.77,50.82,51.17,469516,2016-11-29 01:00:00-05:00
51.35,51.61,50.61,50.72,602934,2016-11-30 01:00:00-05:00
50.76,51.19,50.67,50.74,788053,2016-12-01 01:00:00-05:00
50.74,51.3917,50.51,50.99,470951,2016-12-02 01:00:00-05:00
51.41,51.52,50.83,51.15,481768,2016-12-05 01:00:00-05:00
51.18,52.14,50.885,52.1,448190,2016-12-06 01:00:00-05:00
52.0,52.76,51.88,52.74,968244,2016-12-07 01:00:00-05:00
52.63,53.34,52.46,53.05,584100,2016-12-08 01:00:00-05:00
53.0,53.8,53.0,53.56,526808,2016-12-09 01:00:00-05:00
53.26,53.74,53.0,53.56,774641,2016-12-12 01:00:00-05:00
53.54,54.16,53.45,54.01,635150,2016-12-13 01:00:00-05:00
54.08,54.19,53.35,53.56,1014076,2016-12-14 01:00:00-05:00
53.36,54.061,53.33,53.99,638179,2016-12-15 01:00:00-05:00
54.03,54.225,53.72,53.87,2099912,2016-12-16 01:00:00-05:00
53.86,54.36,53.37,53.44,776343,2016-12-19 01:00:00-05:00
53.48,53.73,53.38,53.52,401594,2016-12-20 01:00:00-05:00
53.37,53.65,52.96,53.09,951995,2016-12-21 01:00:00-05:00
52.88,53.28,52.165,52.34,970140,2016-12-22 01:00:00-05:00
52.41,52.72,52.19,52.66,312175,2016-12-23 01:00:00-05:00
52.68,52.88,52.44,52.68,365045,2016-12-27 01:00:00-05:00
52.85,52.85,52.1325,52.19,290923,2016-12-28 01:00:00-05:00
52.31,52.51,52.1,52.18,356056,2016-12-29 01:00:00-05:00
52.42,52.48,51.95,52.15,355782,2016-12-30 01:00:00-05:00
52.35,53.13,52.29,52.99,625629,2017-01-03 01:00:00-05:00
53.18,53.58,52.87,53.3,497274,2017-01-04 01:00:00-05:00
53.26,53.45,52.58,52.73,574518,2017-01-05 01:00:00-05:00
52.66,53.55,52.62,53.11,1180061,2017-01-06 01:00:00-05:00
53.14,53.865,53.14,53.55,705958,2017-01-09 01:00:00-05:00
53.74,53.74,53.32,53.34,679462,2017-01-10 01:00:00-05:00
53.16,53.58,52.36,53.04,629904,2017-01-11 01:00:00-05:00
52.98,53.0,52.42,52.96,931748,2017-01-12 01:00:00-05:00
53.01,54.06,53.01,53.9,778571,2017-01-13 01:00:00-05:00
53.58,53.58,52.895,52.93,767334,2017-01-17 01:00:00-05:00
52.91,53.04,52.29,52.43,705944,2017-01-18 01:00:00-05:00
52.1,52.77,51.96,52.12,728417,2017-01-19 01:00:00-05:00
52.25,52.36,51.63,51.71,470102,2017-01-20 01:00:00-05:00
51.43,51.9,51.43,51.69,725542,2017-01-23 01:00:00-05:00
52.0,52.23,51.06,51.57,686528,2017-01-24 01:00:00-05:00
51.72,52.695,51.58,52.28,619022,2017-01-25 01:00:00-05:00
52.29,52.46,51.72,52.06,437534,2017-01-26 01:00:00-05:00
52.09,52.715,52.01,52.32,468400,2017-01-27 01:00:00-05:00
52.22,52.26,51.42,51.8,588148,2017-01-30 01:00:00-05:00
51.85,53.19,51.74,53.19,607824,2017-01-31 01:00:00-05:00
53.15,53.96,53.1,53.76,742170,2017-02-01 01:00:00-05:00
53.56,53.995,53.19,53.85,1032249,2017-02-02 01:00:00-05:00
51.0,53.67,50.59,52.17,2022490,2017-02-03 01:00:00-05:00
52.09,52.46,51.76,52.32,725122,2017-02-06 01:00:00-05:00
52.36,53.05,52.25,52.69,811034,2017-02-07 01:00:00-05:00
52.7,53.56,52.63,53.21,758291,2017-02-08 01:00:00-05:00
53.16,54.18,53.16,53.73,603078,2017-02-09 01:00:00-05:00
53.79,54.12,53.63,53.97,569757,2017-02-10 01:00:00-05:00
54.02,54.54,53.995,54.39,561796,2017-02-13 01:00:00-05:00
54.21,54.48,53.99,54.4,577111,2017-02-14 01:00:00-05:00
54.33,55.67,54.25,55.55,1078157,2017-02-15 01:00:00-05:00
55.41,55.62,55.06,55.32,701399,2017-02-16 01:00:00-05:00
55.13,55.94,55.13,55.94,405365,2017-02-17 01:00:00-05:00
55.91,56.14,55.4,55.66,592384,2017-02-21 01:00:00-05:00
55.49,55.68,55.18,55.2,425526,2017-02-22 01:00:00-05:00
55.37,55.445,54.62,55.11,554034,2017-02-23 01:00:00-05:00
54.78,55.13,54.66,55.04,971929,2017-02-24 01:00:00-05:00
54.91,55.21,54.82,54.99,565616,2017-02-27 01:00:00-05:00
54.77,54.92,54.21,54.26,587998,2017-02-28 01:00:00-05:00
54.69,55.43,54.62,55.25,942837,2017-03-01 01:00:00-05:00
55.09,55.46,54.57,54.62,715098,2017-03-02 01:00:00-05:00
54.59,54.97,54.53,54.94,469789,2017-03-03 01:00:00-05:00
54.58,54.75,54.24,54.28,587891,2017-03-06 01:00:00-05:00
54.07,54.4,53.97,54.08,383554,2017-03-07 01:00:00-05:00
54.1,54.65,54.01,54.39,383329,2017-03-08 01:00:00-05:00
54.61,55.05,54.43,54.77,444884,2017-03-09 01:00:00-05:00
54.97,55.76,54.88,55.59,843464,2017-03-10 01:00:00-05:00
55.68,55.89,55.22,55.84,666445,2017-03-13 01:00:00-04:00
55.73,55.88,55.41,55.82,437654,2017-03-14 01:00:00-04:00
56.0,56.96,55.92,56.82,794277,2017-03-15 01:00:00-04:00
56.48,56.81,55.55,56.12,940439,2017-03-16 01:00:00-04:00
56.24,57.35,56.07,57.27,1139870,2017-03-17 01:00:00-04:00
