open,high,low,close,volume,datetime
98.14,98.32,97.35,97.64,531414,2016-11-03 01:00:00-04:00
97.95,100.13,97.95,98.59,625624,2016-11-04 01:00:00-04:00
100.09,100.41,99.26,99.83,817351,2016-11-07 01:00:00-05:00
99.64,100.0,98.14,98.91,752754,2016-11-08 01:00:00-05:00
97.08,103.0,96.1,102.15,1619566,2016-11-09 01:00:00-05:00
103.27,110.45,103.1,106.26,2007438,2016-11-10 01:00:00-05:00
106.84,108.88,103.72,107.1,1251875,2016-11-11 01:00:00-05:00
107.15,112.39,106.93,111.59,1683714,2016-11-14 01:00:00-05:00
111.59,113.59,110.48,113.17,1575196,2016-11-15 01:00:00-05:00
111.71,113.685,111.71,111.92,856336,2016-11-16 01:00:00-05:00
112.73,113.67,111.7,113.57,858581,2016-11-17 01:00:00-05:00
112.89,113.27,110.15,110.28,693280,2016-11-18 01:00:00-05:00
110.29,111.74,110.14,110.57,494543,2016-11-21 01:00:00-05:00
111.33,113.75,110.49,113.68,486520,2016-11-22 01:00:00-05:00
112.82,114.0,111.705,112.52,560513,2016-11-23 01:00:00-05:00
112.54,113.0575,111.96,112.17,114981,2016-11-25 01:00:00-05:00
111.63,112.13,109.87,110.91,593289,2016-11-28 01:00:00-05:00
110.48,110.87,108.09,108.61,1033584,2016-11-29 01:00:00-05:00
107.98,108.87,104.38,104.61,1583266,2016-11-30 01:00:00-05:00
105.05,106.5075,104.14,104.37,905663,2016-12-01 01:00:00-05:00
105.18,107.253,104.16,105.72,726882,2016-12-02 01:00:00-05:00
106.64,108.74,105.94,108.19,523277,2016-12-05 01:00:00-05:00
108.09,108.28,106.95,107.42,558689,2016-12-06 01:00:00-05:00
106.98,109.32,106.9,108.96,631498,2016-12-07 01:00:00-05:00
109.4,110.415,108.23,108.88,603341,2016-12-08 01:00:00-05:00
108.83,109.74,108.44,109.0,488162,2016-12-09 01:00:00-05:00
108.38,108.91,103.24,103.77,1044440,2016-12-12 01:00:00-05:00
104.11,104.9,103.54,103.76,881973,2016-12-13 01:00:00-05:00
103.19,103.86,101.17,101.75,1167676,2016-12-14 01:00:00-05:00
101.6,101.67,95.67,96.93,2450481,2016-12-15 01:00:00-05:00
97.07,97.1,93.46,94.75,1806898,2016-12-16 01:00:00-05:00
94.35,95.34,93.0,93.24,1127992,2016-12-19 01:00:00-05:00
93.32,94.06,92.54,92.92,1029508,2016-12-20 01:00:00-05:00
92.69,93.31,92.27,92.81,568250,2016-12-21 01:00:00-05:00
92.75,92.88,90.01,90.73,1145397,2016-12-22 01:00:00-05:00
91.0,92.34,89.24,89.45,985632,2016-12-23 01:00:00-05:00
89.97,91.12,89.62,90.1,954650,2016-12-27 01:00:00-05:00
89.9,90.39,89.305,89.98,746480,2016-12-28 01:00:00-05:00
89.9,91.07,89.9,90.74,963328,2016-12-29 01:00:00-05:00
90.75,91.47,90.07,90.32,932434,2016-12-30 01:00:00-05:00
91.27,93.05,90.56,90.63,1434366,2017-01-03 01:00:00-05:00
91.0,92.49,90.15,90.62,1528624,2017-01-04 01:00:00-05:00
88.62,89.12,87.07,89.05,2110534,2017-01-05 01:00:00-05:00
89.27,89.4506,87.55,88.58,1699690,2017-01-06 01:00:00-05:00
