open,high,low,close,volume,datetime
199.36,201.88,199.01,201.45,1211584,2016-06-08 01:00:00-04:00
201.3,202.75,200.01,201.65,824899,2016-06-09 01:00:00-04:00
200.77,201.82,199.81,200.26,830176,2016-06-10 01:00:00-04:00
200.82,202.53,199.95,201.73,999155,2016-06-13 01:00:00-04:00
201.41,204.3,200.93,202.82,1257618,2016-06-14 01:00:00-04:00
203.17,205.3,203.17,204.22,1261316,2016-06-15 01:00:00-04:00
203.73,206.35,202.8,206.21,843204,2016-06-16 01:00:00-04:00
206.08,206.08,203.62,205.89,1452729,2016-06-17 01:00:00-04:00
207.91,209.77,206.44,206.96,1214391,2016-06-20 01:00:00-04:00
207.27,208.94,207.01,208.43,1190807,2016-06-21 01:00:00-04:00
209.01,209.5,207.74,208.59,1087913,2016-06-22 01:00:00-04:00
209.78,210.439,208.47,209.09,730188,2016-06-23 01:00:00-04:00
204.58,208.82,203.01,206.5,1733905,2016-06-24 01:00:00-04:00
205.44,208.1143,203.88,207.95,1785978,2016-06-27 01:00:00-04:00
209.21,213.22,208.0,213.09,1732043,2016-06-28 01:00:00-04:00
213.9,216.14,212.925,214.93,1575635,2016-06-29 01:00:00-04:00
215.73,217.17,213.9,216.9,2072952,2016-06-30 01:00:00-04:00
217.53,218.945,216.52,217.14,1047904,2016-07-01 01:00:00-04:00
217.34,220.25,217.29,220.23,1321807,2016-07-05 01:00:00-04:00
219.68,220.33,216.8,217.54,1397217,2016-07-06 01:00:00-04:00
217.04,217.66,213.87,215.59,1235660,2016-07-07 01:00:00-04:00
216.79,219.75,216.03,219.56,1152822,2016-07-08 01:00:00-04:00
219.8,222.25,218.37,221.74,998208,2016-07-11 01:00:00-04:00
221.33,221.84,219.18,221.46,1255088,2016-07-12 01:00:00-04:00
221.77,224.25,221.04,224.24,1194241,2016-07-13 01:00:00-04:00
224.23,224.23,221.5,222.17,1159734,2016-07-14 01:00:00-04:00
222.63,223.175,219.94,222.94,1115225,2016-07-15 01:00:00-04:00
223.05,223.46,221.33,222.28,849025,2016-07-18 01:00:00-04:00
222.6,223.03,220.641,223.03,1077058,2016-07-19 01:00:00-04:00
223.44,223.49,221.81,223.24,751848,2016-07-20 01:00:00-04:00
222.74,224.35,220.84,224.2,671574,2016-07-21 01:00:00-04:00
223.89,226.13,223.535,225.3,967340,2016-07-22 01:00:00-04:00
225.85,226.42,224.08,224.48,800353,2016-07-25 01:00:00-04:00
224.51,225.1,223.48,224.5,920550,2016-07-26 01:00:00-04:00
225.15,225.195,219.05,221.7,1587563,2016-07-27 01:00:00-04:00
221.81,225.749,221.62,224.07,923605,2016-07-28 01:00:00-04:00
223.93,229.1,223.93,227.04,1260546,2016-07-29 01:00:00-04:00
226.86,228.47,226.26,227.6,921607,2016-08-01 01:00:00-04:00
226.58,227.5,223.21,223.61,1301904,2016-08-02 01:00:00-04:00
222.2,222.38,220.35,222.31,1510586,2016-08-03 01:00:00-04:00
222.55,223.065,219.37,219.62,1037105,2016-08-04 01:00:00-04:00
220.12,220.99,218.47,219.71,1378745,2016-08-05 01:00:00-04:00
219.69,222.37,219.265,219.97,1147483,2016-08-08 01:00:00-04:00
220.0,221.37,218.35,220.63,881811,2016-08-09 01:00:00-04:00
219.88,221.22,218.35,218.98,1218849,2016-08-10 01:00:00-04:00
219.04,219.04,213.49,214.55,2212910,2016-08-11 01:00:00-04:00
214.85,216.56,214.125,215.22,1196532,2016-08-12 01:00:00-04:00
214.35,214.98,213.38,214.08,1148148,2016-08-15 01:00:00-04:00
213.83,214.31,210.27,211.57,1273059,2016-08-16 01:00:00-04:00
211.57,214.49,210.34,213.97,1128861,2016-08-17 01:00:00-04:00
213.49,215.07,213.04,214.35,890760,2016-08-18 01:00:00-04:00
213.54,214.35,211.06,211.9,973513,2016-08-19 01:00:00-04:00
212.35,213.26,211.03,212.49,811737,2016-08-22 01:00:00-04:00
213.37,213.6,211.92,211.97,677694,2016-08-23 01:00:00-04:00
212.27,214.66,211.12,214.24,1371112,2016-08-24 01:00:00-04:00
214.39,217.53,214.32,215.55,1052150,2016-08-25 01:00:00-04:00
216.16,218.19,212.9,213.76,1253464,2016-08-26 01:00:00-04:00
213.76,216.29,213.36,215.69,883718,2016-08-29 01:00:00-04:00
216.04,216.2,213.16,215.9,944679,2016-08-30 01:00:00-04:00
215.49,217.1,214.33,215.47,1817478,2016-08-31 01:00:00-04:00
214.89,216.65,214.26,216.02,881852,2016-09-01 01:00:00-04:00
216.92,219.41,215.61,216.69,939104,2016-09-02 01:00:00-04:00
217.12,218.18,215.4,218.16,1374666,2016-09-06 01:00:00-04:00
218.11,219.06,216.9,218.95,813570,2016-09-07 01:00:00-04:00
217.98,218.58,216.57,217.09,2414645,2016-09-08 01:00:00-04:00
215.31,215.31,209.79,209.9,1692963,2016-09-09 01:00:00-04:00
209.21,213.54,208.49,212.28,2081233,2016-09-12 01:00:00-04:00
211.05,211.2,206.92,206.92,1406575,2016-09-13 01:00:00-04:00
207.55,210.28,207.06,207.78,1212842,2016-09-14 01:00:00-04:00
207.3,208.33,206.41,207.91,1244036,2016-09-15 01:00:00-04:00
207.35,209.0299,206.365,208.73,2460596,2016-09-16 01:00:00-04:00
209.9,210.41,208.82,209.59,960077,2016-09-19 01:00:00-04:00
