open,high,low,close,volume,datetime
70.75,71.72,70.59,71.55,483059,2016-06-08 01:00:00-04:00
71.29,72.02,71.115,71.67,368957,2016-06-09 01:00:00-04:00
71.17,71.22,70.51,70.74,529410,2016-06-10 01:00:00-04:00
70.5,70.62,68.33,68.38,1282901,2016-06-13 01:00:00-04:00
68.06,68.45,67.28,67.75,714002,2016-06-14 01:00:00-04:00
67.93,67.93,67.02,67.15,831423,2016-06-15 01:00:00-04:00
66.7,67.065,65.915,66.6,1152267,2016-06-16 01:00:00-04:00
66.68,67.48,66.12,67.39,1384205,2016-06-17 01:00:00-04:00
68.3,68.78,67.65,67.66,1137167,2016-06-20 01:00:00-04:00
67.66,67.95,66.84,67.51,873248,2016-06-21 01:00:00-04:00
67.49,67.825,67.15,67.15,809328,2016-06-22 01:00:00-04:00
67.83,69.43,67.66,69.39,1406078,2016-06-23 01:00:00-04:00
67.31,67.31,64.89,65.44,9755202,2016-06-24 01:00:00-04:00
65.06,65.21,63.26,63.28,1711248,2016-06-27 01:00:00-04:00
63.65,65.05,63.43,65.02,1348057,2016-06-28 01:00:00-04:00
65.51,67.43,65.51,67.36,924183,2016-06-29 01:00:00-04:00
67.85,68.78,67.19,68.75,804667,2016-06-30 01:00:00-04:00
68.9,69.48,68.0935,68.89,435828,2016-07-01 01:00:00-04:00
68.77,69.07,67.68,67.79,913415,2016-07-05 01:00:00-04:00
67.68,68.3,67.25,68.07,730092,2016-07-06 01:00:00-04:00
68.26,68.76,68.025,68.19,500410,2016-07-07 01:00:00-04:00
68.8,69.48,68.46,69.16,806500,2016-07-08 01:00:00-04:00
69.45,69.65,69.08,69.09,527510,2016-07-11 01:00:00-04:00
69.26,69.58,69.16,69.38,1152566,2016-07-12 01:00:00-04:00
69.88,69.9,68.965,69.03,372082,2016-07-13 01:00:00-04:00
69.54,69.57,68.79,69.03,686040,2016-07-14 01:00:00-04:00
69.32,69.67,68.49,68.8,463553,2016-07-15 01:00:00-04:00
68.69,68.95,68.42,68.82,537071,2016-07-18 01:00:00-04:00
68.63,68.65,68.24,68.48,472118,2016-07-19 01:00:00-04:00
68.56,69.41,68.3,69.09,753110,2016-07-20 01:00:00-04:00
68.9,69.12,68.09,68.27,484757,2016-07-21 01:00:00-04:00
68.62,69.43,68.259,69.41,529945,2016-07-22 01:00:00-04:00
69.2,69.55,68.12,68.24,675222,2016-07-25 01:00:00-04:00
68.12,69.06,68.06,69.02,456750,2016-07-26 01:00:00-04:00
68.7,70.6,68.7,70.28,811069,2016-07-27 01:00:00-04:00
70.28,70.56,69.5,70.33,348531,2016-07-28 01:00:00-04:00
70.3,71.58,70.3,70.95,964512,2016-07-29 01:00:00-04:00
