open,high,low,close,volume,datetime
47.95,48.14,47.59,47.85,3417035,2016-11-03 01:00:00-04:00
47.85,48.14,47.69,48.04,6442987,2016-11-04 01:00:00-04:00
50.35,53.37,50.35,52.76,14925252,2016-11-07 01:00:00-05:00
53.08,54.66,52.99,54.19,9650649,2016-11-08 01:00:00-05:00
52.85,54.29,51.99,54.16,6068345,2016-11-09 01:00:00-05:00
53.84,53.95,53.03,53.22,5246277,2016-11-10 01:00:00-05:00
53.2,53.28,52.8,53.13,2809959,2016-11-11 01:00:00-05:00
52.91,53.87,52.75,53.49,5135034,2016-11-14 01:00:00-05:00
53.5,53.72,53.18,53.5,3721768,2016-11-15 01:00:00-05:00
52.89,53.44,52.5925,53.13,4000493,2016-11-16 01:00:00-05:00
53.15,53.59,52.76,53.36,4295781,2016-11-17 01:00:00-05:00
53.23,53.66,53.02,53.14,4043887,2016-11-18 01:00:00-05:00
53.17,53.75,53.17,53.73,2808817,2016-11-21 01:00:00-05:00
53.76,54.42,53.63,54.1,4122877,2016-11-22 01:00:00-05:00
53.87,54.23,53.41,53.56,2385361,2016-11-23 01:00:00-05:00
53.78,54.1,53.71,53.93,1262884,2016-11-25 01:00:00-05:00
53.82,53.89,53.445,53.71,2582283,2016-11-28 01:00:00-05:00
53.75,54.17,53.67,53.89,2715928,2016-11-29 01:00:00-05:00
53.6,53.89,53.24,53.25,4459693,2016-11-30 01:00:00-05:00
53.02,53.15,52.71,53.1,3628141,2016-12-01 01:00:00-05:00
53.5,54.11,53.47,53.59,3961820,2016-12-02 01:00:00-05:00
53.61,53.92,53.37,53.48,3479250,2016-12-05 01:00:00-05:00
53.95,54.09,53.48,53.95,2781529,2016-12-06 01:00:00-05:00
54.01,54.72,53.86,54.53,3258380,2016-12-07 01:00:00-05:00
54.41,54.61,54.11,54.33,3078657,2016-12-08 01:00:00-05:00
54.76,55.285,54.13,55.15,3305605,2016-12-09 01:00:00-05:00
55.08,55.56,54.89,55.02,2916729,2016-12-12 01:00:00-05:00
55.35,56.0,55.235,55.62,4328149,2016-12-13 01:00:00-05:00
55.73,55.92,55.33,55.51,3322467,2016-12-14 01:00:00-05:00
55.45,56.1,55.33,55.95,3340819,2016-12-15 01:00:00-05:00
55.96,56.75,55.96,56.36,6872950,2016-12-16 01:00:00-05:00
56.25,57.07,56.11,56.61,3263494,2016-12-19 01:00:00-05:00
56.72,56.91,56.32,56.47,2553944,2016-12-20 01:00:00-05:00
56.49,56.79,56.26,56.26,1780381,2016-12-21 01:00:00-05:00
56.32,56.56,55.895,56.25,2459851,2016-12-22 01:00:00-05:00
56.28,56.39,56.015,56.23,1709713,2016-12-23 01:00:00-05:00
56.41,56.59,56.04,56.17,1545160,2016-12-27 01:00:00-05:00
56.17,56.33,55.59,55.73,1772796,2016-12-28 01:00:00-05:00
55.84,56.1,55.645,55.92,1687000,2016-12-29 01:00:00-05:00
55.92,56.06,55.205,55.37,2318516,2016-12-30 01:00:00-05:00
55.32,55.65,54.46,55.0,3876968,2017-01-03 01:00:00-05:00
54.72,55.33,54.72,55.17,2986699,2017-01-04 01:00:00-05:00
54.9,55.299,54.9,54.99,3629471,2017-01-05 01:00:00-05:00
54.86,55.66,54.77,55.38,4776599,2017-01-06 01:00:00-05:00
55.5,55.95,55.46,55.68,3933308,2017-01-09 01:00:00-05:00
55.56,55.65,55.15,55.33,2932844,2017-01-10 01:00:00-05:00
55.17,55.4,54.91,55.29,2866390,2017-01-11 01:00:00-05:00
55.12,55.29,54.67,54.9,2362648,2017-01-12 01:00:00-05:00
55.0,55.14,54.82,54.97,1794219,2017-01-13 01:00:00-05:00
54.65,55.12,54.59,54.88,2605511,2017-01-17 01:00:00-05:00
55.0,55.295,54.79,55.25,3412711,2017-01-18 01:00:00-05:00
55.34,55.35,53.51,53.62,6507815,2017-01-19 01:00:00-05:00
53.88,54.27,53.66,53.81,3789994,2017-01-20 01:00:00-05:00
53.8,53.8,53.35,53.52,2564481,2017-01-23 01:00:00-05:00
53.68,53.89,53.3,53.52,3681808,2017-01-24 01:00:00-05:00
53.59,53.87,53.01,53.05,2617971,2017-01-25 01:00:00-05:00
53.15,53.2,52.785,53.03,4063928,2017-01-26 01:00:00-05:00
53.17,53.24,52.66,52.7,3189047,2017-01-27 01:00:00-05:00
52.69,52.92,52.45,52.74,3992394,2017-01-30 01:00:00-05:00
52.73,52.965,52.41,52.46,4758170,2017-01-31 01:00:00-05:00
52.18,52.63,52.04,52.05,3448755,2017-02-01 01:00:00-05:00
52.47,52.6993,52.18,52.38,3898465,2017-02-02 01:00:00-05:00
52.59,52.86,52.21,52.54,4546546,2017-02-03 01:00:00-05:00
53.2,53.21,49.895,51.2,9488311,2017-02-06 01:00:00-05:00
52.2,53.02,51.83,52.23,7421343,2017-02-07 01:00:00-05:00
52.05,52.13,51.67,51.83,3457911,2017-02-08 01:00:00-05:00
51.75,52.26,51.75,52.25,3741782,2017-02-09 01:00:00-05:00
52.19,52.695,52.02,52.62,3475869,2017-02-10 01:00:00-05:00
52.62,52.945,52.54,52.81,5567075,2017-02-13 01:00:00-05:00
