open,high,low,close,volume,datetime
60.35,61.05,60.35,60.69,1649988,2016-11-03 01:00:00-04:00
60.67,61.3,60.42,60.7,1645547,2016-11-04 01:00:00-04:00
61.73,61.85,61.05,61.33,1104601,2016-11-07 01:00:00-05:00
61.2,61.47,60.32,60.77,2728369,2016-11-08 01:00:00-05:00
60.79,65.95,60.73,65.35,5024306,2016-11-09 01:00:00-05:00
65.5,71.18,65.35,67.29,6432453,2016-11-10 01:00:00-05:00
67.14,67.81,66.32,67.5,3610440,2016-11-11 01:00:00-05:00
68.43,70.24,68.22,70.23,4119057,2016-11-14 01:00:00-05:00
69.45,70.6399,69.4,70.62,2588926,2016-11-15 01:00:00-05:00
69.96,70.37,69.33,69.5,1512558,2016-11-16 01:00:00-05:00
69.25,70.3932,69.0,70.18,2219566,2016-11-17 01:00:00-05:00
70.33,70.98,70.0165,70.47,1461390,2016-11-18 01:00:00-05:00
70.7,70.92,70.32,70.73,1183147,2016-11-21 01:00:00-05:00
70.9,71.1,70.12,71.05,1535783,2016-11-22 01:00:00-05:00
70.85,71.473,70.5,71.28,1026630,2016-11-23 01:00:00-05:00
71.4,71.81,71.05,71.43,490432,2016-11-25 01:00:00-05:00
70.98,71.35,70.07,70.15,1294064,2016-11-28 01:00:00-05:00
70.33,70.6,69.87,70.38,1079629,2016-11-29 01:00:00-05:00
71.07,71.74,70.67,71.06,2036450,2016-11-30 01:00:00-05:00
71.52,72.69,71.1,72.57,2669810,2016-12-01 01:00:00-05:00
72.3,72.86,71.7575,72.48,1650947,2016-12-02 01:00:00-05:00
72.97,73.35,72.19,72.58,1700936,2016-12-05 01:00:00-05:00
72.98,73.11,72.49,73.09,1624519,2016-12-06 01:00:00-05:00
73.13,74.38,72.86,74.35,1479360,2016-12-07 01:00:00-05:00
74.35,75.95,74.0,75.61,2268375,2016-12-08 01:00:00-05:00
75.46,75.46,73.52,73.6,2921611,2016-12-09 01:00:00-05:00
73.4,74.11,72.69,73.03,1860737,2016-12-12 01:00:00-05:00
73.06,73.99,72.81,73.44,1844367,2016-12-13 01:00:00-05:00
73.19,74.0,72.6,72.71,1603725,2016-12-14 01:00:00-05:00
73.08,73.8,72.57,73.0,1052840,2016-12-15 01:00:00-05:00
73.01,73.9,72.97,73.76,3524561,2016-12-16 01:00:00-05:00
73.56,73.775,72.88,73.63,1267256,2016-12-19 01:00:00-05:00
74.2,74.71,73.765,74.67,1473705,2016-12-20 01:00:00-05:00
74.47,74.7,74.1345,74.42,1042540,2016-12-21 01:00:00-05:00
74.53,74.7,73.51,73.57,1752831,2016-12-22 01:00:00-05:00
73.45,73.78,73.03,73.59,765242,2016-12-23 01:00:00-05:00
