open,high,low,close,volume,datetime
39.12,39.23,38.79,39.02,1030249,2016-11-03 01:00:00-04:00
39.05,39.52,39.01,39.08,866248,2016-11-04 01:00:00-04:00
39.9,40.76,39.85,40.75,1878632,2016-11-07 01:00:00-05:00
40.61,41.07,40.5115,40.73,1342091,2016-11-08 01:00:00-05:00
40.19,43.09,40.16,42.88,3138635,2016-11-09 01:00:00-05:00
43.2,44.6,43.2,44.08,2720877,2016-11-10 01:00:00-05:00
43.8,44.76,43.41,44.71,2353636,2016-11-11 01:00:00-05:00
44.75,45.85,44.71,45.14,2512401,2016-11-14 01:00:00-05:00
45.03,45.21,44.481,45.13,1354637,2016-11-15 01:00:00-05:00
44.88,45.22,44.59,44.62,1023329,2016-11-16 01:00:00-05:00
44.74,44.9,44.52,44.57,945043,2016-11-17 01:00:00-05:00
44.39,44.4,44.17,44.24,841145,2016-11-18 01:00:00-05:00
44.29,44.5927,44.2,44.56,1425649,2016-11-21 01:00:00-05:00
44.75,45.29,44.66,45.21,968520,2016-11-22 01:00:00-05:00
45.29,45.87,45.09,45.78,1059112,2016-11-23 01:00:00-05:00
45.83,45.95,45.45,45.95,643085,2016-11-25 01:00:00-05:00
45.7,45.85,45.23,45.7,1425865,2016-11-28 01:00:00-05:00
45.63,46.15,45.46,45.98,1183112,2016-11-29 01:00:00-05:00
46.14,46.28,45.99,46.03,1422430,2016-11-30 01:00:00-05:00
46.37,47.88,46.36,47.88,2736549,2016-12-01 01:00:00-05:00
47.93,48.39,47.31,47.49,2668813,2016-12-02 01:00:00-05:00
47.96,48.36,47.125,47.36,1631459,2016-12-05 01:00:00-05:00
47.15,47.73,46.92,47.66,1105068,2016-12-06 01:00:00-05:00
47.51,48.505,47.42,48.44,1229877,2016-12-07 01:00:00-05:00
48.59,49.15,47.74,47.92,1229591,2016-12-08 01:00:00-05:00
48.05,48.9003,48.05,48.39,1682306,2016-12-09 01:00:00-05:00
47.99,48.4,47.44,48.4,1540224,2016-12-12 01:00:00-05:00
48.64,48.85,48.31,48.47,2056870,2016-12-13 01:00:00-05:00
48.46,49.17,48.1,48.18,1677653,2016-12-14 01:00:00-05:00
48.07,49.19,47.57,49.01,1726098,2016-12-15 01:00:00-05:00
49.2,49.82,48.59,48.6,2962847,2016-12-16 01:00:00-05:00
48.7,49.2,48.205,48.34,1763408,2016-12-19 01:00:00-05:00
48.54,48.97,48.425,48.66,1173413,2016-12-20 01:00:00-05:00
48.71,48.97,48.53,48.7,836326,2016-12-21 01:00:00-05:00
48.88,48.97,48.39,48.59,779524,2016-12-22 01:00:00-05:00
48.59,48.97,48.46,48.94,742266,2016-12-23 01:00:00-05:00
49.15,49.2499,48.82,49.04,507059,2016-12-27 01:00:00-05:00
49.14,49.14,48.5,48.52,668137,2016-12-28 01:00:00-05:00
48.66,48.85,48.35,48.58,457049,2016-12-29 01:00:00-05:00
48.68,48.76,48.08,48.56,1066894,2016-12-30 01:00:00-05:00
48.79,49.43,48.76,49.25,1484454,2017-01-03 01:00:00-05:00
49.46,50.47,49.29,50.3,2467105,2017-01-04 01:00:00-05:00
50.02,50.93,49.77,50.23,1522793,2017-01-05 01:00:00-05:00
50.24,50.3551,49.81,49.86,823753,2017-01-06 01:00:00-05:00
49.75,49.99,49.51,49.54,1713648,2017-01-09 01:00:00-05:00
49.79,50.18,49.4,49.94,1802725,2017-01-10 01:00:00-05:00
50.05,50.27,49.67,49.98,1471831,2017-01-11 01:00:00-05:00
49.9,49.965,48.96,49.77,1190029,2017-01-12 01:00:00-05:00
49.84,49.97,49.26,49.49,1074349,2017-01-13 01:00:00-05:00
49.25,49.28,48.61,48.75,1338055,2017-01-17 01:00:00-05:00
48.75,49.2795,48.56,49.09,1489040,2017-01-18 01:00:00-05:00
49.36,49.59,49.02,49.42,1182692,2017-01-19 01:00:00-05:00
49.71,49.775,49.08,49.35,1287071,2017-01-20 01:00:00-05:00
49.4,49.98,48.3641,48.88,1696315,2017-01-23 01:00:00-05:00
48.93,49.75,48.8,49.38,3147646,2017-01-24 01:00:00-05:00
45.49,47.2,43.66,46.73,16894753,2017-01-25 01:00:00-05:00
46.72,49.39,46.65,48.51,5446897,2017-01-26 01:00:00-05:00
48.55,49.18,47.66,47.77,3445201,2017-01-27 01:00:00-05:00
47.5,47.82,46.81,47.45,2115237,2017-01-30 01:00:00-05:00
47.27,47.45,46.63,47.37,1754750,2017-01-31 01:00:00-05:00
47.67,47.92,47.06,47.09,1221834,2017-02-01 01:00:00-05:00
46.76,47.56,46.57,47.54,1904279,2017-02-02 01:00:00-05:00
47.69,48.35,47.69,48.31,1601483,2017-02-03 01:00:00-05:00
48.16,48.57,48.08,48.28,722537,2017-02-06 01:00:00-05:00
48.43,48.7996,48.02,48.21,1159597,2017-02-07 01:00:00-05:00
48.16,48.18,47.61,48.01,741124,2017-02-08 01:00:00-05:00
48.19,48.8,48.15,48.66,1127685,2017-02-09 01:00:00-05:00
48.9,49.26,48.58,48.9,1276130,2017-02-10 01:00:00-05:00
49.16,49.39,48.97,49.19,1581122,2017-02-13 01:00:00-05:00
48.98,49.26,48.76,49.2,942801,2017-02-14 01:00:00-05:00
49.23,49.365,49.03,49.16,1039849,2017-02-15 01:00:00-05:00
49.16,49.21,48.45,49.01,1839732,2017-02-16 01:00:00-05:00
48.67,48.68,47.74,48.35,1828611,2017-02-17 01:00:00-05:00
48.5,48.64,48.03,48.21,1905531,2017-02-21 01:00:00-05:00
47.96,48.51,47.83,48.41,1145100,2017-02-22 01:00:00-05:00
48.52,48.595,47.18,47.21,1980669,2017-02-23 01:00:00-05:00
46.77,47.45,46.731,47.17,3689584,2017-02-24 01:00:00-05:00
47.54,48.0,47.22,47.86,3003534,2017-02-27 01:00:00-05:00
47.9,48.16,47.25,47.3,2579492,2017-02-28 01:00:00-05:00
47.96,49.69,47.84,49.58,3289155,2017-03-01 01:00:00-05:00
49.45,49.52,48.81,48.83,1794046,2017-03-02 01:00:00-05:00
48.89,49.13,48.01,48.06,1489430,2017-03-03 01:00:00-05:00
47.38,48.28,47.38,48.07,1393460,2017-03-06 01:00:00-05:00
47.79,48.23,47.665,47.85,1495409,2017-03-07 01:00:00-05:00
47.87,48.075,47.6,48.02,1404204,2017-03-08 01:00:00-05:00
48.09,48.32,47.34,47.43,1612352,2017-03-09 01:00:00-05:00
47.73,47.76,47.17,47.63,1234657,2017-03-10 01:00:00-05:00
47.59,47.89,47.38,47.38,1104861,2017-03-13 01:00:00-04:00
47.12,47.25,46.79,47.2,1112191,2017-03-14 01:00:00-04:00
47.39,47.97,47.29,47.84,977184,2017-03-15 01:00:00-04:00
48.0,48.08,47.35,47.65,964776,2017-03-16 01:00:00-04:00
47.78,48.07,47.4,47.74,2082490,2017-03-17 01:00:00-04:00
47.78,48.24,47.56,47.63,1258848,2017-03-20 01:00:00-04:00
47.91,47.93,46.52,46.78,1988210,2017-03-21 01:00:00-04:00
46.73,47.32,46.46,47.12,1081599,2017-03-22 01:00:00-04:00
47.05,47.4,46.855,46.91,1012313,2017-03-23 01:00:00-04:00
46.97,47.025,45.96,46.15,1573062,2017-03-24 01:00:00-04:00
45.61,46.535,45.19,46.36,1168589,2017-03-27 01:00:00-04:00
46.29,47.41,46.17,46.99,948311,2017-03-28 01:00:00-04:00
46.83,47.28,46.69,47.09,909668,2017-03-29 01:00:00-04:00
47.11,47.55,46.96,47.32,939910,2017-03-30 01:00:00-04:00
47.22,47.705,47.21,47.59,2165491,2017-03-31 01:00:00-04:00
