open,high,low,close,volume,datetime
178.32,181.19,177.82,181.11,837990,2016-06-08 01:00:00-04:00
180.27,180.56,177.9,179.69,559041,2016-06-09 01:00:00-04:00
178.53,178.7,176.54,177.52,566408,2016-06-10 01:00:00-04:00
177.16,178.02,174.83,175.01,839060,2016-06-13 01:00:00-04:00
174.38,175.24,172.44,174.86,711660,2016-06-14 01:00:00-04:00
175.66,178.52,174.25,176.3,1047620,2016-06-15 01:00:00-04:00
175.74,175.74,172.52,174.43,923687,2016-06-16 01:00:00-04:00
174.55,176.4299,173.91,175.64,956928,2016-06-17 01:00:00-04:00
177.36,180.42,177.36,177.73,720792,2016-06-20 01:00:00-04:00
178.51,179.18,176.35,177.18,642687,2016-06-21 01:00:00-04:00
177.93,179.73,177.34,178.2,480230,2016-06-22 01:00:00-04:00
180.38,181.01,177.46,178.8,695881,2016-06-23 01:00:00-04:00
170.8,170.89,160.97,162.57,2818465,2016-06-24 01:00:00-04:00
160.5,160.5,152.19,154.46,1824974,2016-06-27 01:00:00-04:00
159.13,161.61,158.43,161.04,1718488,2016-06-28 01:00:00-04:00
163.05,165.74,162.2,163.89,926848,2016-06-29 01:00:00-04:00
163.87,166.64,161.81,166.64,876231,2016-06-30 01:00:00-04:00
167.0,169.42,166.37,167.27,717383,2016-07-01 01:00:00-04:00
166.26,166.93,161.97,163.96,629896,2016-07-05 01:00:00-04:00
163.42,166.6,162.7,166.42,846156,2016-07-06 01:00:00-04:00
166.88,168.75,165.61,167.88,488031,2016-07-07 01:00:00-04:00
169.88,172.66,168.54,171.38,721318,2016-07-08 01:00:00-04:00
171.83,173.289,170.3,172.72,673059,2016-07-11 01:00:00-04:00
174.75,174.83,172.47,173.72,554374,2016-07-12 01:00:00-04:00
174.4,174.67,171.64,173.79,469969,2016-07-13 01:00:00-04:00
175.1,176.9,174.03,174.19,596378,2016-07-14 01:00:00-04:00
174.99,176.745,174.24,175.51,688123,2016-07-15 01:00:00-04:00
175.97,181.67,174.97,178.02,1309943,2016-07-18 01:00:00-04:00
177.73,180.94,177.73,179.35,531829,2016-07-19 01:00:00-04:00
178.83,186.0,178.38,183.67,1557686,2016-07-20 01:00:00-04:00
183.74,184.63,181.85,182.72,1261735,2016-07-21 01:00:00-04:00
187.0,188.27,181.7669,187.61,1331823,2016-07-22 01:00:00-04:00
185.92,190.37,185.06,190.26,1120542,2016-07-25 01:00:00-04:00
190.2,190.575,188.08,189.98,1105716,2016-07-26 01:00:00-04:00
189.23,191.6943,189.14,190.62,1044821,2016-07-27 01:00:00-04:00
190.62,193.025,189.44,192.38,936514,2016-07-28 01:00:00-04:00
192.9,193.59,191.29,192.36,962250,2016-07-29 01:00:00-04:00
192.36,194.1,191.73,192.13,826807,2016-08-01 01:00:00-04:00
191.67,192.425,188.98,189.38,647165,2016-08-02 01:00:00-04:00
188.99,189.2,187.11,187.83,754769,2016-08-03 01:00:00-04:00
188.34,189.84,187.36,189.21,631072,2016-08-04 01:00:00-04:00
190.0,191.515,187.99,189.56,633888,2016-08-05 01:00:00-04:00
190.65,190.65,188.67,189.56,391495,2016-08-08 01:00:00-04:00
189.92,189.92,188.33,189.24,449744,2016-08-09 01:00:00-04:00
189.82,189.82,186.01,186.78,752117,2016-08-10 01:00:00-04:00
187.61,189.18,186.7,187.12,637397,2016-08-11 01:00:00-04:00
186.06,187.16,185.01,185.97,620028,2016-08-12 01:00:00-04:00
186.37,186.62,184.2,184.86,1169838,2016-08-15 01:00:00-04:00
183.71,184.81,182.65,183.02,902489,2016-08-16 01:00:00-04:00
183.09,183.935,180.92,182.13,901898,2016-08-17 01:00:00-04:00
182.43,185.115,181.11,184.58,650901,2016-08-18 01:00:00-04:00
184.01,185.05,182.06,182.87,773846,2016-08-19 01:00:00-04:00
182.89,184.22,181.71,183.76,426183,2016-08-22 01:00:00-04:00
185.15,187.13,184.82,186.24,666222,2016-08-23 01:00:00-04:00
184.9,185.2399,180.65,181.57,754619,2016-08-24 01:00:00-04:00
181.29,181.85,179.54,180.58,711526,2016-08-25 01:00:00-04:00
181.09,182.15,179.6,181.02,892454,2016-08-26 01:00:00-04:00
181.0,182.63,181.0,181.34,490978,2016-08-29 01:00:00-04:00
181.19,181.87,178.65,179.25,472103,2016-08-30 01:00:00-04:00
179.03,180.0099,177.495,178.64,685320,2016-08-31 01:00:00-04:00
178.59,178.9,176.34,177.65,630387,2016-09-01 01:00:00-04:00
178.93,179.49,177.15,177.98,430677,2016-09-02 01:00:00-04:00
178.76,178.99,177.11,178.61,463815,2016-09-06 01:00:00-04:00
178.61,182.44,178.1,182.25,1106036,2016-09-07 01:00:00-04:00
