open,high,low,close,volume,datetime
47.1,47.3499,46.9,47.18,1269371,2016-06-08 01:00:00-04:00
46.97,47.12,46.8,47.03,1826689,2016-06-09 01:00:00-04:00
46.53,47.05,46.49,46.73,1400641,2016-06-10 01:00:00-04:00
46.64,46.9,46.27,46.32,2125781,2016-06-13 01:00:00-04:00
46.28,47.07,46.28,46.96,2434490,2016-06-14 01:00:00-04:00
47.03,47.24,46.665,46.69,1824569,2016-06-15 01:00:00-04:00
46.33,46.91,46.1902,46.84,1285647,2016-06-16 01:00:00-04:00
46.86,46.88,46.14,46.4,3527268,2016-06-17 01:00:00-04:00
47.01,47.24,46.435,46.5,2020087,2016-06-20 01:00:00-04:00
46.56,46.73,46.26,46.68,1805032,2016-06-21 01:00:00-04:00
46.74,46.77,46.37,46.42,1804226,2016-06-22 01:00:00-04:00
46.9,47.45,46.7,47.44,1522413,2016-06-23 01:00:00-04:00
45.71,46.4027,45.27,45.31,3328251,2016-06-24 01:00:00-04:00
44.82,45.21,43.5,43.84,3007594,2016-06-27 01:00:00-04:00
44.23,44.87,44.0,44.75,1730389,2016-06-28 01:00:00-04:00
45.0,45.8,44.77,45.47,2492867,2016-06-29 01:00:00-04:00
45.49,46.18,45.29,46.13,1593119,2016-06-30 01:00:00-04:00
45.87,46.26,45.61,46.19,1482004,2016-07-01 01:00:00-04:00
45.89,46.0,45.37,45.57,1730243,2016-07-05 01:00:00-04:00
45.35,45.545,44.95,45.48,1738568,2016-07-06 01:00:00-04:00
45.47,46.08,45.47,45.71,1471554,2016-07-07 01:00:00-04:00
46.13,46.995,45.9,46.97,1770474,2016-07-08 01:00:00-04:00
46.97,47.42,46.75,47.22,1233377,2016-07-11 01:00:00-04:00
47.32,47.63,47.12,47.48,1703701,2016-07-12 01:00:00-04:00
47.64,47.77,47.47,47.62,1597662,2016-07-13 01:00:00-04:00
48.0,48.0,47.62,47.84,1294225,2016-07-14 01:00:00-04:00
48.04,48.06,47.69,47.9,1543397,2016-07-15 01:00:00-04:00
48.47,48.58,48.05,48.37,1904451,2016-07-18 01:00:00-04:00
48.14,48.35,47.84,47.98,2153250,2016-07-19 01:00:00-04:00
48.12,48.335,47.77,48.08,1709517,2016-07-20 01:00:00-04:00
47.99,48.25,47.625,47.79,1368772,2016-07-21 01:00:00-04:00
47.87,48.36,47.53,48.35,1231038,2016-07-22 01:00:00-04:00
48.39,48.62,48.16,48.45,1518851,2016-07-25 01:00:00-04:00
48.65,49.83,48.525,49.7,4023071,2016-07-26 01:00:00-04:00
49.89,49.89,49.35,49.84,3185049,2016-07-27 01:00:00-04:00
50.0,51.435,49.757,51.09,5761425,2016-07-28 01:00:00-04:00
51.19,51.48,50.89,51.08,2735018,2016-07-29 01:00:00-04:00
51.0,51.42,50.92,51.2,2660179,2016-08-01 01:00:00-04:00
51.01,51.12,50.45,50.76,1936357,2016-08-02 01:00:00-04:00
50.54,50.89,50.0467,50.84,2162142,2016-08-03 01:00:00-04:00
50.87,51.44,50.69,51.43,1487303,2016-08-04 01:00:00-04:00
51.59,51.77,51.53,51.77,1491436,2016-08-05 01:00:00-04:00
51.95,51.96,51.49,51.57,1690269,2016-08-08 01:00:00-04:00
51.41,52.28,51.41,51.99,2434101,2016-08-09 01:00:00-04:00
51.94,51.94,51.57,51.65,1221271,2016-08-10 01:00:00-04:00
51.5,51.9,51.49,51.83,1035346,2016-08-11 01:00:00-04:00
51.83,52.18,51.67,51.84,1151938,2016-08-12 01:00:00-04:00
52.02,52.43,52.0,52.04,1702605,2016-08-15 01:00:00-04:00
51.85,52.03,51.31,51.74,1182212,2016-08-16 01:00:00-04:00
51.76,52.3,51.6101,52.19,1568886,2016-08-17 01:00:00-04:00
52.38,53.02,52.32,53.01,2500354,2016-08-18 01:00:00-04:00
52.93,53.33,52.93,53.14,3980118,2016-08-19 01:00:00-04:00
53.19,53.77,53.16,53.66,2036449,2016-08-22 01:00:00-04:00
53.85,54.13,53.75,54.03,1931604,2016-08-23 01:00:00-04:00
54.0,54.2,53.8,53.98,2062601,2016-08-24 01:00:00-04:00
53.91,54.1,53.805,54.09,1524933,2016-08-25 01:00:00-04:00
54.03,54.54,53.68,54.18,1707400,2016-08-26 01:00:00-04:00
54.2,54.62,54.07,54.15,2075770,2016-08-29 01:00:00-04:00
54.33,54.69,54.08,54.19,2380003,2016-08-30 01:00:00-04:00
54.2,54.3,53.73,54.21,3029574,2016-08-31 01:00:00-04:00
54.17,54.36,53.48,54.24,2428167,2016-09-01 01:00:00-04:00
54.41,54.73,54.04,54.46,2088497,2016-09-02 01:00:00-04:00
54.44,54.82,54.08,54.36,1500243,2016-09-06 01:00:00-04:00
54.46,54.49,53.66,53.77,1652973,2016-09-07 01:00:00-04:00
53.6,53.72,53.14,53.39,3167697,2016-09-08 01:00:00-04:00
52.97,53.1635,51.98,52.08,4008530,2016-09-09 01:00:00-04:00
51.94,53.25,51.69,53.12,2523466,2016-09-12 01:00:00-04:00
52.73,52.94,52.38,52.53,1912456,2016-09-13 01:00:00-04:00
52.65,53.22,52.31,53.01,1971181,2016-09-14 01:00:00-04:00
52.89,53.78,52.67,53.57,2386248,2016-09-15 01:00:00-04:00
53.81,53.98,53.05,53.36,2352237,2016-09-16 01:00:00-04:00
53.53,53.92,53.28,53.49,1528904,2016-09-19 01:00:00-04:00
